# Argonia, Kansas (Up to date)
# 1569 data points written for 4 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (78.5 mph)
#
# Time (s),Altitude (ft),Vertical velocity (mph),Vertical acceleration (G)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.012,1.614,7.359
0.02,0.047,3.228,7.361
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.107,4.843,7.363
0.04,0.189,6.458,7.365
0.05,0.296,8.074,7.367
0.06,0.426,9.69,7.369
0.07,0.58,11.306,7.371
0.08,0.758,12.923,7.372
0.09,0.959,14.541,7.374
0.1,1.184,16.158,7.376
0.11,1.433,17.777,7.378
0.12,1.706,19.395,7.38
0.13,2.002,21.014,7.382
0.14,2.322,22.634,7.384
0.15,2.666,24.253,7.386
0.16,3.034,25.874,7.388
0.17,3.425,27.494,7.389
0.18,3.84,29.115,7.391
0.19,4.279,30.737,7.393
0.2,4.742,32.359,7.395
0.21,5.228,33.981,7.397
0.22,5.739,35.604,7.399
0.23,6.273,37.227,7.401
0.24,6.831,38.85,7.402
0.25,7.412,40.474,7.404
0.26,8.018,42.099,7.406
0.27,8.647,43.723,7.408
0.28,9.3,45.348,7.41
0.29,9.977,46.974,7.412
0.3,10.678,48.6,7.413
0.31,11.403,50.226,7.415
0.32,12.152,51.853,7.417
0.33,12.924,53.48,7.419
0.34,13.72,55.108,7.421
0.35,14.541,56.736,7.422
0.36,15.385,58.364,7.424
0.37,16.253,59.992,7.426
# Event LAUNCHROD occurred at t=0.38 seconds
0.38,17.144,61.621,7.427
0.395,18.527,64.065,7.429
0.418,20.702,67.732,7.432
0.451,24.19,73.234,7.437
0.501,29.86,81.39,7.443
0.551,36.128,89.552,7.448
0.601,42.994,97.718,7.453
0.651,50.46,105.889,7.457
0.701,58.524,114.064,7.46
0.751,67.189,122.242,7.463
0.801,76.453,130.423,7.465
0.851,86.318,138.606,7.466
0.901,96.782,146.79,7.467
0.951,107.847,154.974,7.466
1.001,119.511,163.157,7.466
1.051,131.776,171.338,7.464
1.101,144.641,179.516,7.459
1.151,158.105,187.682,7.448
1.201,172.167,195.834,7.435
1.251,186.826,203.973,7.422
1.301,202.082,212.096,7.408
1.351,217.933,220.204,7.394
1.401,234.378,228.297,7.381
1.451,251.416,236.375,7.368
1.501,269.046,244.437,7.353
1.551,287.266,252.483,7.341
1.601,306.076,260.518,7.331
1.651,325.475,268.543,7.324
1.701,345.462,276.56,7.317
1.751,366.037,284.57,7.311
1.801,387.198,292.575,7.306
1.851,408.947,300.574,7.301
1.901,431.282,308.565,7.293
1.951,454.203,316.548,7.284
2.001,477.709,324.52,7.273
2.051,501.798,332.478,7.26
2.101,526.471,340.421,7.244
2.151,551.726,348.345,7.227
2.201,577.561,356.245,7.203
2.251,603.974,364.117,7.177
2.301,630.964,371.959,7.149
2.351,658.527,379.77,7.119
2.401,686.662,387.548,7.09
2.451,715.366,395.294,7.061
2.501,744.638,403.01,7.035
2.551,774.473,410.699,7.014
2.601,804.873,418.366,6.994
2.651,835.833,426.013,6.977
2.701,867.354,433.642,6.96
2.751,899.433,441.252,6.943
2.801,932.07,448.842,6.922
2.851,965.262,456.407,6.899
2.901,999.008,463.943,6.871
2.951,1033.306,471.447,6.84
3.001,1068.153,478.915,6.805
3.051,1103.546,486.343,6.767
3.101,1139.482,493.729,6.73
3.151,1175.958,501.077,6.697
3.201,1212.972,508.39,6.668
3.251,1250.521,515.673,6.642
3.301,1288.603,522.929,6.617
3.351,1327.216,530.156,6.591
3.401,1366.358,537.355,6.564
3.451,1406.027,544.522,6.533
3.501,1446.22,551.652,6.497
3.551,1486.934,558.742,6.459
3.601,1528.167,565.786,6.417
3.651,1569.915,572.784,6.373
3.701,1612.174,579.733,6.33
3.751,1654.941,586.64,6.294
3.801,1698.213,593.509,6.263
3.851,1741.988,600.346,6.233
3.901,1786.262,607.148,6.199
3.951,1831.035,613.911,6.161
4.001,1876.301,620.629,6.118
4.051,1922.058,627.297,6.07
4.101,1968.303,633.912,6.023
4.151,2015.031,640.476,5.977
4.201,2062.238,646.992,5.936
4.251,2109.921,653.464,5.897
4.301,2158.078,659.893,5.855
4.351,2206.704,666.275,5.813
4.401,2255.797,672.609,5.765
4.451,2305.352,678.891,5.719
4.501,2355.365,685.12,5.672
4.551,2405.834,691.302,5.634
4.601,2456.755,697.448,5.603
4.651,2508.125,703.559,5.571
4.701,2559.943,709.635,5.536
4.751,2612.204,715.665,5.49
4.801,2664.905,721.644,5.443
4.851,2718.043,727.572,5.401
4.901,2771.614,733.458,5.363
4.951,2825.615,739.301,5.324
5.001,2880.044,745.103,5.285
5.051,2934.896,750.867,5.253
5.101,2990.17,756.595,5.22
5.151,3045.862,762.284,5.182
5.201,3101.97,767.934,5.148
5.251,3158.491,773.544,5.112
5.301,3215.422,779.119,5.083
5.351,3272.76,784.664,5.055
5.401,3330.505,790.179,5.025
5.451,3388.652,795.657,4.99
5.501,3447.2,801.097,4.957
5.551,3506.145,806.508,4.935
5.601,3565.487,811.896,4.913
5.651,3625.222,817.258,4.887
5.701,3685.35,822.589,4.856
5.751,3745.867,827.879,4.819
5.801,3806.771,833.129,4.784
5.851,3868.059,838.346,4.758
5.901,3929.728,843.538,4.735
5.951,3991.776,848.702,4.707
6.001,4054.203,853.834,4.675
6.051,4117.004,858.929,4.642
6.101,4180.178,863.986,4.607
6.151,4243.721,869.003,4.573
6.201,4307.63,873.989,4.547
6.251,4371.905,878.947,4.52
6.301,4436.541,883.876,4.494
6.351,4501.539,888.772,4.46
6.401,4566.893,893.628,4.422
6.451,4632.603,898.444,4.391
6.501,4698.664,903.232,4.368
6.551,4765.076,907.995,4.342
6.601,4831.836,912.726,4.309
6.651,4898.941,917.415,4.272
6.701,4966.388,922.065,4.239
6.751,5034.176,926.686,4.216
6.801,5102.301,931.283,4.193
6.851,5170.763,935.85,4.161
6.901,5239.558,940.376,4.122
6.951,5308.683,944.86,4.087
7.001,5378.136,949.309,4.059
7.051,5447.914,953.733,4.035
7.101,5518.016,958.128,4.005
7.151,5588.438,962.472,3.956
7.201,5659.176,966.737,3.883
7.251,5730.223,970.926,3.821
7.301,5801.576,975.056,3.771
7.351,5873.229,979.13,3.716
7.401,5945.179,983.139,3.651
7.451,6017.421,987.075,3.584
7.501,6089.947,990.923,3.506
7.551,6162.752,994.668,3.416
7.601,6235.828,998.318,3.332
7.651,6309.169,1001.877,3.245
7.701,6382.767,1005.337,3.151
7.751,6456.614,1008.685,3.047
7.801,6530.703,1011.92,2.951
7.851,6605.025,1015.055,2.866
7.901,6679.574,1018.093,2.773
7.951,6754.342,1021.021,2.667
8.001,6829.319,1023.827,2.554
8.051,6904.498,1026.509,2.444
8.101,6979.87,1029.073,2.34
8.151,7055.425,1031.527,2.243
8.201,7131.156,1033.877,2.146
8.251,7207.056,1036.112,2.036
8.301,7283.115,1038.22,1.918
8.351,7359.324,1040.199,1.807
